HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457963.91877,2017-07-29.4200425,bf,1.62,14.735,>14.735,99.990,4.221,0.983,V
2457963.92004,2017-07-29.4213096,bf,1.46,16.078,14.613,0.057,5.481,0.285,V
2457963.92130,2017-07-29.4225738,bf,1.45,15.830,14.821,0.086,4.525,0.358,V
2457968.91233,2017-08-03.4134481,bf,1.46,16.616,14.673,0.036,5.185,0.174,V
2457968.91359,2017-08-03.4147170,bf,1.41,16.676,14.772,0.038,4.730,0.164,V
2457968.91486,2017-08-03.4159870,bf,1.42,16.584,14.738,0.040,4.882,0.178,V
2457971.90177,2017-08-06.4028009,bf,1.45,16.255,14.720,0.053,4.967,0.242,V
2457971.90303,2017-08-06.4040620,bf,1.46,16.190,14.742,0.058,4.865,0.257,V
2457971.90430,2017-08-06.4053291,bf,1.46,16.246,14.677,0.052,5.164,0.244,V
2457978.90061,2017-08-13.4014199,bf,1.80,16.307,14.772,0.053,4.732,0.230,V
2457978.90188,2017-08-13.4026812,bf,1.70,16.237,14.705,0.053,5.037,0.246,V
2457978.90314,2017-08-13.4039453,bf,1.65,16.296,14.702,0.050,5.046,0.233,V
2457980.89374,2017-08-15.3944815,bf,1.43,16.508,14.681,0.041,5.145,0.192,V
2457980.89502,2017-08-15.3957581,bf,1.56,16.525,14.776,0.044,4.715,0.189,V
2457980.89629,2017-08-15.3970255,bf,1.53,16.528,14.682,0.040,5.141,0.188,V
2457983.89674,2017-08-18.3973883,bf,1.45,16.561,14.553,0.034,5.790,0.183,V
2457983.89801,2017-08-18.3986510,bf,1.39,16.606,14.604,0.034,5.525,0.175,V
2457983.89927,2017-08-18.3999155,bf,1.49,16.655,14.646,0.034,5.314,0.167,V
2457994.84651,2017-08-29.3467780,bf,1.49,16.606,14.621,0.035,5.440,0.175,V
2457994.84778,2017-08-29.3480432,bf,1.46,16.564,14.679,0.038,5.158,0.182,V
2457994.84905,2017-08-29.3493159,bf,1.46,16.622,14.596,0.034,5.565,0.173,V
2457999.87586,2017-09-03.3759398,bf,1.52,16.517,14.667,0.040,5.214,0.190,V
2457999.87713,2017-09-03.3772090,bf,1.60,16.532,14.634,0.038,5.372,0.188,V
2457999.87839,2017-09-03.3784747,bf,1.57,16.542,14.616,0.037,5.463,0.186,V
2458000.82588,2017-09-04.3259280,bf,1.45,16.131,14.708,0.059,5.020,0.271,V
2458000.82714,2017-09-04.3271940,bf,1.45,16.164,14.558,0.050,5.759,0.263,V
2458000.82840,2017-09-04.3284541,bf,1.49,16.116,14.572,0.053,5.691,0.275,V
2458001.85280,2017-09-05.3528207,bf,1.74,16.151,14.639,0.054,5.349,0.266,V
2458001.85410,2017-09-05.3541133,bf,1.56,16.072,14.800,0.068,4.611,0.286,V
2458001.85538,2017-09-05.3553920,bf,1.56,15.976,14.606,0.062,5.518,0.313,V
2458005.82019,2017-09-09.3200591,bf,1.76,99.990,99.990,99.990,99.990,99.990,V
2458005.82145,2017-09-09.3213265,bf,1.98,99.990,99.990,99.990,99.990,99.990,V
2458007.81918,2017-09-11.3189841,bf,1.61,16.322,14.623,0.046,5.428,0.228,V
2458009.90723,2017-09-13.4069577,bf,1.73,16.266,14.647,0.049,5.311,0.240,V
2458009.90850,2017-09-13.4082271,bf,1.96,16.210,14.693,0.054,5.089,0.252,V
2458009.90976,2017-09-13.4094888,bf,1.89,16.143,14.691,0.057,5.098,0.268,V
2458011.79729,2017-09-15.2969531,bf,1.41,16.582,14.660,0.037,5.243,0.179,V
2458011.79856,2017-09-15.2982238,bf,1.45,16.552,14.688,0.039,5.112,0.184,V
2458011.79982,2017-09-15.2994847,bf,1.45,16.532,14.666,0.039,5.220,0.187,V
2458014.78608,2017-09-18.2856393,bf,1.48,16.618,14.744,0.039,4.858,0.173,V
2458014.78735,2017-09-18.2869103,bf,1.48,16.613,14.721,0.038,4.961,0.174,V
2458014.78862,2017-09-18.2881796,bf,1.45,16.646,14.741,0.038,4.869,0.169,V
2458016.78292,2017-09-20.2824171,bf,1.68,16.471,14.764,0.045,4.769,0.198,V
2458016.78419,2017-09-20.2836828,bf,1.87,16.468,14.738,0.044,4.885,0.199,V
2458016.78547,2017-09-20.2849660,bf,1.72,16.508,14.700,0.041,5.057,0.192,V
2458019.77467,2017-09-23.2740652,bf,1.43,16.586,14.728,0.039,4.929,0.178,V
2458019.77595,2017-09-23.2753416,bf,1.41,16.590,14.675,0.037,5.174,0.178,V
2458019.77721,2017-09-23.2766062,bf,1.46,16.605,14.760,0.040,4.786,0.175,V
2458022.77189,2017-09-26.2711795,bf,1.50,16.653,14.765,0.038,4.764,0.168,V
2458022.77315,2017-09-26.2724456,bf,1.42,16.671,14.783,0.038,4.686,0.165,V
2458022.77442,2017-09-26.2737106,bf,1.46,16.657,14.691,0.036,5.099,0.167,V
2458022.90023,2017-09-26.3995247,bj,1.63,16.686,15.011,0.047,3.596,0.154,g
2458022.90145,2017-09-26.4007339,bj,1.74,16.481,15.060,0.059,3.434,0.186,g
2458028.76667,2017-10-02.2657583,bf,1.47,16.319,14.717,0.050,4.978,0.228,V
2458028.76794,2017-10-02.2670324,bf,1.45,16.325,14.856,0.056,4.382,0.227,V
2458028.76921,2017-10-02.2682987,bf,1.49,16.387,14.797,0.051,4.625,0.214,V
2458029.87292,2017-10-03.3719814,bj,2.17,99.990,99.990,99.990,99.990,99.990,g
2458029.87414,2017-10-03.3732093,bj,2.24,99.990,99.990,99.990,99.990,99.990,g
2458029.87537,2017-10-03.3744315,bj,2.22,99.990,99.990,99.990,99.990,99.990,g
2458030.88439,2017-10-04.3834246,bj,1.61,14.871,>14.871,99.990,3.812,0.818,g
2458030.88561,2017-10-04.3846353,bj,1.74,15.327,14.749,0.129,4.577,0.538,g
2458030.88683,2017-10-04.3858542,bj,1.87,14.993,>14.993,99.990,3.469,0.731,g
2458032.77942,2017-10-06.2783914,bf,1.46,15.921,14.811,0.079,4.566,0.329,V
2458032.78070,2017-10-06.2796701,bf,1.45,15.851,14.930,0.094,4.092,0.351,V
2458032.78197,2017-10-06.2809377,bf,1.48,15.829,14.745,0.081,4.850,0.358,V
2458032.83187,2017-10-06.3308347,bj,2.01,16.328,14.988,0.064,3.669,0.214,g
2458032.83308,2017-10-06.3320438,bj,2.02,16.336,15.095,0.070,3.328,0.212,g
2458032.83430,2017-10-06.3332680,bj,2.01,16.305,15.108,0.073,3.286,0.218,g
2458033.84711,2017-10-07.3460483,bj,1.71,16.566,14.994,0.051,3.652,0.172,g
2458033.84832,2017-10-07.3472586,bj,1.73,16.641,15.046,0.050,3.478,0.160,g
2458033.84954,2017-10-07.3484770,bj,1.79,16.528,15.122,0.060,3.246,0.178,g
2458034.86518,2017-10-08.3640840,bf,1.55,16.176,14.737,0.058,4.886,0.260,V
2458034.86645,2017-10-08.3653562,bf,1.52,16.163,14.664,0.055,5.230,0.263,V
2458034.87912,2017-10-08.3780269,bj,2.19,99.990,99.990,99.990,99.990,99.990,g
2458034.88036,2017-10-08.3792664,bj,2.22,99.990,99.990,99.990,99.990,99.990,g
2458034.88158,2017-10-08.3804826,bj,2.20,99.990,99.990,99.990,99.990,99.990,g
2458036.74788,2017-10-10.2467303,bf,1.60,16.228,14.679,0.052,5.157,0.248,V
2458036.74916,2017-10-10.2480061,bf,1.54,16.268,14.721,0.053,4.957,0.239,V
2458037.74802,2017-10-11.2468376,bf,1.47,16.363,14.646,0.045,5.313,0.219,V
2458037.74928,2017-10-11.2481028,bf,1.47,16.328,14.680,0.048,5.155,0.226,V
2458040.82524,2017-10-14.3239653,bf,1.61,16.599,14.790,0.041,4.657,0.176,V
2458040.82650,2017-10-14.3252375,bf,1.49,16.599,14.792,0.041,4.645,0.176,V
2458040.82777,2017-10-14.3265047,bf,1.55,16.607,14.737,0.039,4.891,0.175,V
2458043.82704,2017-10-17.3256968,bf,1.50,16.588,14.755,0.040,4.808,0.178,V
2458043.82835,2017-10-17.3270040,bf,1.49,16.651,14.725,0.037,4.938,0.168,V
2458043.82962,2017-10-17.3282770,bf,1.55,16.556,14.705,0.040,5.034,0.183,V
2458044.85573,2017-10-18.3543509,bj,1.57,17.303,15.058,0.028,3.442,0.087,g
2458044.85694,2017-10-18.3555743,bj,1.65,17.257,15.045,0.028,3.484,0.091,g
2458044.85817,2017-10-18.3567951,bj,1.62,17.288,15.031,0.027,3.528,0.089,g
2458046.83484,2017-10-20.3334137,bj,1.62,17.302,15.027,0.027,3.543,0.087,g
2458046.83606,2017-10-20.3346332,bj,1.63,17.264,15.028,0.028,3.536,0.091,g
2458046.83729,2017-10-20.3358567,bj,1.70,17.298,15.053,0.028,3.456,0.088,g
2458047.83531,2017-10-21.3338570,bj,1.64,17.276,15.053,0.028,3.460,0.090,g
2458047.83652,2017-10-21.3350687,bj,1.69,17.222,15.058,0.030,3.442,0.094,g
2458047.83773,2017-10-21.3362847,bj,1.70,17.202,15.039,0.030,3.504,0.096,g
2458048.85532,2017-10-22.3538490,bj,1.63,17.297,15.023,0.027,3.556,0.088,g
2458048.85654,2017-10-22.3550686,bj,1.64,17.339,15.066,0.027,3.419,0.085,g
2458048.85776,2017-10-22.3562802,bj,1.60,17.291,15.048,0.028,3.472,0.088,g
2458049.85966,2017-10-23.3581606,bj,1.69,16.248,15.150,0.080,3.161,0.230,g
2458049.86088,2017-10-23.3593778,bj,1.61,16.418,15.054,0.062,3.453,0.197,g
2458049.86209,2017-10-23.3605921,bj,1.62,16.898,14.968,0.037,3.737,0.127,g
2458052.86896,2017-10-26.3673918,bj,1.99,17.112,14.992,0.031,3.657,0.104,g
2458052.87852,2017-10-26.3769469,bj,2.01,16.389,15.018,0.062,3.572,0.202,g
2458053.86583,2017-10-27.3642348,bj,1.62,17.216,15.078,0.030,3.381,0.095,g
2458053.86705,2017-10-27.3654526,bj,1.76,17.175,15.054,0.031,3.455,0.098,g
2458053.86826,2017-10-27.3666665,bj,1.71,17.093,15.085,0.034,3.357,0.106,g
2458054.85910,2017-10-28.3574974,bj,2.02,17.196,14.990,0.029,3.663,0.097,g
2458054.86034,2017-10-28.3587193,bj,2.04,17.109,15.006,0.031,3.610,0.105,g
2458054.86155,2017-10-28.3599332,bj,2.02,16.994,15.026,0.036,3.547,0.116,g
2458056.85665,2017-10-30.3549925,bj,2.38,99.990,99.990,99.990,99.990,99.990,g
2458056.85787,2017-10-30.3562108,bj,2.37,99.990,99.990,99.990,99.990,99.990,g
2458056.85909,2017-10-30.3574337,bj,2.38,99.990,99.990,99.990,99.990,99.990,g
2458057.85729,2017-10-31.3556094,bj,2.23,99.990,99.990,99.990,99.990,99.990,g
2458057.85852,2017-10-31.3568447,bj,2.22,99.990,99.990,99.990,99.990,99.990,g
2458057.85974,2017-10-31.3580583,bj,2.29,99.990,99.990,99.990,99.990,99.990,g
2458058.86114,2017-11-01.3594394,bj,2.21,17.071,15.048,0.034,3.472,0.108,g
2458062.83370,2017-11-05.3319222,bj,2.10,16.180,15.033,0.076,3.522,0.245,g
2458063.86600,2017-11-06.3642127,bj,1.71,16.397,15.084,0.065,3.358,0.201,g
2458063.86722,2017-11-06.3654291,bj,1.76,16.387,15.067,0.065,3.412,0.203,g
2458063.86843,2017-11-06.3666428,bj,1.66,16.368,15.163,0.072,3.125,0.206,g
2458064.61036,2017-11-07.1085553,bn,2.50,16.274,15.257,0.086,2.865,0.225,g
2458067.85772,2017-11-10.3558782,bj,1.69,16.995,14.992,0.035,3.659,0.116,g
2458067.85896,2017-11-10.3571063,bj,1.66,16.974,14.938,0.034,3.841,0.118,g
2458067.86018,2017-11-10.3583230,bj,1.69,16.872,15.021,0.040,3.560,0.130,g
2458068.85444,2017-11-11.3525703,bj,1.66,17.015,14.964,0.033,3.754,0.114,g
2458068.85567,2017-11-11.3538028,bj,1.70,17.050,15.019,0.034,3.567,0.110,g
2458068.85690,2017-11-11.3550281,bj,1.64,17.105,15.062,0.033,3.431,0.105,g
2458071.84180,2017-11-14.3398925,bj,1.69,17.203,14.973,0.028,3.724,0.096,g
2458071.84303,2017-11-14.3411230,bj,1.74,17.259,14.976,0.027,3.710,0.091,g
2458071.84426,2017-11-14.3423581,bj,1.66,17.272,14.944,0.026,3.824,0.090,g
2458072.84251,2017-11-15.3405855,bj,2.12,17.185,14.955,0.028,3.782,0.098,g
2458072.84374,2017-11-15.3418146,bj,2.13,17.173,14.978,0.029,3.704,0.099,g
2458072.84496,2017-11-15.3430369,bj,2.15,99.990,99.990,99.990,99.990,99.990,g
2458075.60804,2017-11-18.1060870,bn,1.61,99.990,99.990,99.990,99.990,99.990,g
2458075.70743,2017-11-18.2054708,bf,1.45,16.588,14.688,0.038,5.112,0.178,V
2458075.70870,2017-11-18.2067459,bf,1.41,16.683,14.732,0.036,4.909,0.163,V
2458075.70997,2017-11-18.2080099,bf,1.45,16.658,14.687,0.035,5.122,0.167,V
2458076.58926,2017-11-19.0872929,bn,1.48,17.309,14.893,0.024,4.007,0.087,g
2458076.59048,2017-11-19.0885104,bn,1.49,17.319,15.024,0.026,3.550,0.086,g
2458076.59169,2017-11-19.0897295,bn,1.52,99.990,99.990,99.990,99.990,99.990,g
2458077.58296,2017-11-20.0809834,bn,1.83,17.333,14.973,0.025,3.722,0.085,g
2458077.58518,2017-11-20.0832116,bn,1.83,17.232,15.018,0.028,3.572,0.093,g
2458077.74270,2017-11-20.2407268,bf,1.50,16.574,14.715,0.039,4.986,0.180,V
2458077.74396,2017-11-20.2419855,bf,1.39,16.621,14.681,0.036,5.149,0.173,V
2458077.74522,2017-11-20.2432484,bf,1.42,16.617,14.689,0.037,5.108,0.173,V
2458077.84036,2017-11-20.3383810,bj,1.61,17.194,14.963,0.028,3.754,0.097,g
2458077.84158,2017-11-20.3395994,bj,1.65,17.227,14.989,0.028,3.670,0.094,g
2458077.84280,2017-11-20.3408206,bj,1.66,17.255,14.986,0.027,3.677,0.091,g
2458078.84537,2017-11-21.3433826,bj,1.65,17.245,14.990,0.027,3.664,0.092,g
2458079.83805,2017-11-22.3360565,bj,1.59,17.269,14.985,0.027,3.679,0.090,g
2458079.83926,2017-11-22.3372695,bj,1.64,17.288,15.016,0.027,3.578,0.089,g
2458079.84048,2017-11-22.3384868,bj,1.61,17.197,14.980,0.028,3.701,0.096,g
2458080.57612,2017-11-23.0741215,bn,2.19,17.186,14.971,0.028,3.729,0.097,g
2458080.57734,2017-11-23.0753424,bn,2.16,17.164,14.978,0.029,3.703,0.099,g
2458080.57854,2017-11-23.0765422,bn,2.18,17.207,14.961,0.028,3.764,0.095,g
2458080.83872,2017-11-23.3367261,bj,1.67,17.279,14.971,0.026,3.730,0.089,g
2458080.83994,2017-11-23.3379434,bj,1.67,17.223,14.973,0.027,3.725,0.094,g
2458080.84116,2017-11-23.3391607,bj,1.65,17.201,14.932,0.027,3.864,0.096,g
2458081.60452,2017-11-24.1025108,bn,1.67,16.358,14.992,0.062,3.657,0.208,g
2458081.60574,2017-11-24.1037292,bn,1.71,16.225,14.922,0.066,3.904,0.235,g
2458081.60694,2017-11-24.1049349,bn,1.79,16.015,14.809,0.072,4.328,0.285,g
2458081.83574,2017-11-24.3337266,bj,1.65,17.249,14.987,0.027,3.675,0.092,g
2458081.83695,2017-11-24.3349474,bj,1.54,17.274,14.985,0.026,3.681,0.090,g
2458081.83817,2017-11-24.3361612,bj,1.62,17.247,14.974,0.027,3.720,0.092,g
2458082.82538,2017-11-25.3233621,bj,1.58,17.255,14.950,0.026,3.804,0.091,g
2458082.82660,2017-11-25.3245793,bj,1.64,17.291,14.965,0.026,3.749,0.088,g
2458082.82781,2017-11-25.3257978,bj,1.58,17.261,14.959,0.026,3.771,0.091,g
2458083.57241,2017-11-26.0703927,bn,1.62,17.277,14.944,0.025,3.822,0.089,g
2458083.57361,2017-11-26.0715971,bn,1.58,17.278,14.955,0.026,3.784,0.089,g
2458083.57483,2017-11-26.0728087,bn,1.53,17.272,14.978,0.026,3.706,0.090,g
2458083.62159,2017-11-26.1195761,bf,1.41,16.536,14.678,0.039,5.161,0.187,V
2458083.62286,2017-11-26.1208447,bf,1.45,16.477,14.641,0.040,5.340,0.197,V
2458083.62413,2017-11-26.1221076,bf,1.43,16.480,14.658,0.041,5.258,0.196,V
2458083.82238,2017-11-26.3203559,bj,1.71,17.204,14.953,0.027,3.794,0.096,g
2458083.82359,2017-11-26.3215730,bj,1.61,17.224,14.936,0.027,3.849,0.094,g
2458083.82481,2017-11-26.3227938,bj,1.67,17.202,14.953,0.027,3.789,0.096,g
2458085.56146,2017-11-28.0594261,bn,1.57,17.334,14.995,0.025,3.645,0.085,g
2458085.56266,2017-11-28.0606368,bn,1.57,17.329,14.990,0.025,3.664,0.085,g
2458085.56388,2017-11-28.0618483,bn,1.53,17.346,14.976,0.025,3.714,0.084,g
2458085.69190,2017-11-28.1898748,bf,1.48,16.499,14.697,0.042,5.070,0.193,V
2458085.69317,2017-11-28.1911402,bf,1.45,16.499,14.712,0.042,5.005,0.193,V
2458085.69443,2017-11-28.1924046,bf,1.42,16.530,14.707,0.041,5.021,0.188,V
2458085.81890,2017-11-28.3168703,bj,1.56,17.278,14.988,0.026,3.669,0.089,g
2458085.82011,2017-11-28.3180843,bj,1.57,17.271,15.016,0.027,3.578,0.090,g
2458085.82133,2017-11-28.3192994,bj,1.60,17.285,15.023,0.027,3.554,0.089,g
2458086.58188,2017-11-29.0798523,bn,1.49,17.317,15.021,0.026,3.562,0.086,g
2458086.58313,2017-11-29.0810986,bn,1.51,17.347,15.061,0.027,3.433,0.084,g
2458086.58437,2017-11-29.0823321,bn,1.57,17.359,15.010,0.025,3.600,0.083,g
2458086.83178,2017-11-29.3297475,bj,2.03,17.186,14.950,0.028,3.802,0.097,g
2458086.83300,2017-11-29.3309673,bj,2.04,17.193,15.036,0.030,3.512,0.097,g
2458086.83422,2017-11-29.3321848,bj,2.04,17.229,15.018,0.028,3.574,0.094,g
2458087.57886,2017-11-30.0768265,bn,1.53,17.355,15.024,0.025,3.552,0.083,g
2458087.58007,2017-11-30.0780403,bn,1.54,17.312,14.988,0.026,3.669,0.087,g
2458087.58128,2017-11-30.0792483,bn,1.59,17.303,15.046,0.027,3.481,0.087,g
2458087.75318,2017-11-30.2511381,bf,1.43,16.370,14.752,0.049,4.819,0.218,V
2458087.75444,2017-11-30.2524033,bf,1.43,16.354,14.651,0.046,5.288,0.221,V
2458087.75572,2017-11-30.2536825,bf,1.48,16.367,14.670,0.046,5.198,0.218,V
2458087.82503,2017-11-30.3229974,bj,1.65,17.344,15.026,0.026,3.547,0.084,g
2458087.82624,2017-11-30.3242065,bj,1.59,17.279,15.003,0.027,3.622,0.089,g
2458087.82744,2017-11-30.3254136,bj,1.62,17.278,15.058,0.028,3.444,0.089,g
2458088.66300,2017-12-01.1609587,bf,1.45,16.099,14.787,0.065,4.670,0.279,V
2458088.66427,2017-12-01.1622348,bf,1.47,16.169,14.668,0.055,5.213,0.262,V
2458088.66553,2017-12-01.1634971,bf,1.41,16.161,14.676,0.056,5.169,0.264,V
2458088.71268,2017-12-01.2106457,bj,1.65,16.642,14.993,0.048,3.654,0.160,g
2458088.71390,2017-12-01.2118629,bj,1.73,16.607,14.978,0.049,3.705,0.165,g
2458088.71512,2017-12-01.2130790,bj,1.70,16.619,14.934,0.046,3.856,0.164,g
2458091.32840,2017-12-03.8263609,bn,1.80,16.169,14.852,0.065,4.164,0.248,g
2458091.32963,2017-12-03.8275822,bn,1.72,16.284,15.064,0.071,3.426,0.223,g
2458091.33084,2017-12-03.8287966,bn,1.79,16.417,14.895,0.054,4.003,0.197,g
2458091.83531,2017-12-04.3332717,bf,1.47,15.773,14.679,0.080,5.154,0.377,V
2458091.83658,2017-12-04.3345387,bf,1.49,15.871,14.707,0.075,5.027,0.344,V
2458091.83785,2017-12-04.3358041,bf,1.52,15.861,14.655,0.072,5.268,0.347,V
2458094.73788,2017-12-07.2358391,bf,1.42,16.347,14.658,0.046,5.257,0.222,V
2458094.73916,2017-12-07.2371138,bf,1.40,16.416,14.693,0.045,5.090,0.208,V
2458094.74041,2017-12-07.2383741,bf,1.51,16.401,14.740,0.047,4.877,0.211,V
2458096.64484,2017-12-09.1428017,bf,1.43,16.582,14.513,0.032,6.006,0.179,V
2458096.64611,2017-12-09.1440701,bf,1.39,16.573,14.480,0.032,6.198,0.181,V
2458096.64737,2017-12-09.1453364,bf,1.43,16.578,14.513,0.033,6.006,0.180,V
2458100.56347,2017-12-13.0614579,bn,1.52,17.240,14.890,0.025,4.018,0.093,g
2458100.56468,2017-12-13.0626662,bn,1.51,17.232,14.878,0.025,4.063,0.093,g
2458100.56589,2017-12-13.0638695,bn,1.47,99.990,99.990,99.990,99.990,99.990,g
2458101.69319,2017-12-14.1911761,bf,1.47,16.523,14.616,0.038,5.466,0.189,V
2458101.69446,2017-12-14.1924469,bf,1.49,16.618,14.599,0.034,5.549,0.173,V
2458101.69573,2017-12-14.1937100,bf,1.53,16.581,14.589,0.035,5.601,0.179,V
2458102.53389,2017-12-15.0318819,bn,1.56,17.283,14.915,0.025,3.926,0.089,g
2458102.53510,2017-12-15.0330885,bn,1.55,17.265,14.909,0.025,3.951,0.090,g
2458102.53631,2017-12-15.0343028,bn,1.52,17.330,14.940,0.024,3.838,0.085,g
2458103.52369,2017-12-16.0216890,bn,1.63,17.316,14.973,0.025,3.723,0.086,g
2458103.52491,2017-12-16.0229074,bn,1.66,17.244,14.944,0.026,3.823,0.092,g
2458103.52612,2017-12-16.0241138,bn,1.65,17.344,15.008,0.025,3.605,0.084,g
2458104.76257,2017-12-17.2605759,bf,1.44,16.696,14.641,0.033,5.339,0.161,V
2458104.76385,2017-12-17.2618489,bf,1.41,16.682,14.669,0.034,5.204,0.163,V
2458104.76512,2017-12-17.2631255,bf,1.41,16.636,14.650,0.035,5.292,0.170,V
2458107.50139,2017-12-19.9994184,bn,1.64,17.308,15.018,0.026,3.571,0.087,g
2458107.50261,2017-12-20.0006409,bn,1.59,17.323,14.980,0.025,3.700,0.086,g
2458107.50383,2017-12-20.0018574,bn,1.58,17.334,15.023,0.026,3.556,0.085,g
2458108.80450,2017-12-21.3025478,bf,1.55,16.516,14.676,0.040,5.170,0.190,V
2458108.80739,2017-12-21.3054354,bf,1.62,16.597,14.715,0.039,4.988,0.177,V
2458111.73376,2017-12-24.2318335,bf,1.42,99.990,99.990,99.990,99.990,99.990,V
2458111.73661,2017-12-24.2346908,bf,1.48,16.617,14.695,0.037,5.079,0.173,V
2458112.51194,2017-12-25.0100241,bn,2.10,17.192,15.027,0.030,3.539,0.097,g
2458112.51315,2017-12-25.0112303,bn,2.36,17.200,15.018,0.029,3.570,0.096,g
2458112.51435,2017-12-25.0124371,bn,2.16,17.195,14.995,0.029,3.649,0.097,g
2458114.48545,2017-12-26.9835575,bn,1.98,17.270,15.014,0.027,3.587,0.090,g
2458114.48665,2017-12-26.9847591,bn,2.02,17.290,15.025,0.027,3.548,0.088,g
2458114.48786,2017-12-26.9859665,bn,1.87,17.301,14.984,0.026,3.684,0.087,g
2458115.40528,2017-12-27.9034090,bn,1.60,17.084,15.016,0.032,3.578,0.107,g
2458115.40650,2017-12-27.9046188,bn,1.58,17.060,15.103,0.036,3.302,0.109,g
2458115.40771,2017-12-27.9058337,bn,1.60,17.081,14.999,0.032,3.633,0.107,g
2458117.73354,2017-12-30.2316943,bf,1.41,16.151,14.634,0.054,5.375,0.266,V
2458119.76817,2018-01-01.2663621,bf,1.44,15.778,14.733,0.084,4.908,0.375,V
2458119.76952,2018-01-01.2677091,bf,1.43,15.877,14.573,0.066,5.685,0.342,V
2458119.77094,2018-01-01.2691271,bf,1.49,15.796,14.569,0.071,5.706,0.369,V
2458120.42265,2018-01-01.9208489,bn,2.11,16.263,15.070,0.073,3.404,0.227,g
2458120.42386,2018-01-01.9220568,bn,2.15,16.246,15.046,0.073,3.479,0.231,g
2458120.42507,2018-01-01.9232693,bn,2.11,16.320,15.031,0.067,3.531,0.215,g
2458120.80993,2018-01-02.3081383,bf,1.51,15.744,14.725,0.086,4.945,0.387,V
2458120.81134,2018-01-02.3095518,bf,1.42,15.549,14.565,0.088,5.727,0.463,V
2458120.81277,2018-01-02.3109785,bf,1.45,15.795,14.458,0.064,6.320,0.369,V
2458121.50101,2018-01-02.9992335,bn,1.71,16.515,15.009,0.055,3.603,0.180,g
2458121.50222,2018-01-03.0004457,bn,1.66,16.523,14.966,0.052,3.749,0.179,g
2458121.50348,2018-01-03.0016956,bn,1.62,16.471,15.028,0.058,3.540,0.187,g
2458122.50598,2018-01-04.0042309,bn,1.59,16.474,15.085,0.061,3.358,0.187,g
2458122.50720,2018-01-04.0054381,bn,1.58,16.607,14.965,0.048,3.752,0.165,g
2458122.50840,2018-01-04.0066460,bn,1.56,16.712,15.030,0.047,3.530,0.150,g
2458123.52429,2018-01-05.0225471,bn,1.59,16.680,15.067,0.050,3.413,0.155,g
2458123.52550,2018-01-05.0237614,bn,1.62,16.740,15.023,0.045,3.555,0.146,g
2458123.52671,2018-01-05.0249699,bn,1.56,16.666,15.027,0.048,3.542,0.157,g
2458124.55123,2018-01-06.0495034,bn,1.74,16.700,15.029,0.047,3.534,0.152,g
2458124.55244,2018-01-06.0507188,bn,1.70,16.853,15.054,0.042,3.455,0.132,g
2458124.55365,2018-01-06.0519327,bn,1.69,16.746,15.077,0.047,3.381,0.146,g
2458124.73710,2018-01-06.2353844,bf,1.46,16.387,14.642,0.044,5.335,0.214,V
2458124.73838,2018-01-06.2366640,bf,1.41,16.396,14.648,0.044,5.302,0.212,V
2458124.73964,2018-01-06.2379259,bf,1.36,16.316,14.715,0.050,4.989,0.229,V
2458125.55132,2018-01-07.0496181,bn,1.72,16.949,15.029,0.037,3.538,0.121,g
2458125.55253,2018-01-07.0508288,bn,1.63,16.891,15.013,0.039,3.588,0.127,g
2458125.55375,2018-01-07.0520468,bn,1.62,16.894,14.977,0.037,3.708,0.127,g
2458125.75931,2018-01-07.2576157,bf,1.46,16.369,14.673,0.046,5.187,0.218,V
2458125.76058,2018-01-07.2588841,bf,1.44,16.423,14.721,0.046,4.962,0.207,V
2458125.76185,2018-01-07.2601622,bf,1.44,16.431,14.713,0.045,4.998,0.206,V
2458127.80870,2018-01-09.3070479,bf,1.38,16.401,14.619,0.042,5.448,0.212,V
2458127.80997,2018-01-09.3083151,bf,1.43,16.375,14.701,0.047,5.052,0.217,V
2458127.81123,2018-01-09.3095796,bf,1.44,16.400,14.641,0.043,5.343,0.212,V
2458128.80872,2018-01-10.3070831,bf,1.42,16.429,14.648,0.042,5.303,0.206,V
2458128.80999,2018-01-10.3083542,bf,1.36,16.411,14.778,0.049,4.708,0.209,V
2458128.81125,2018-01-10.3096180,bf,1.45,16.388,14.645,0.044,5.320,0.214,V
2458132.64310,2018-01-14.1415561,bj,1.65,17.104,15.027,0.032,3.540,0.105,g
2458132.64433,2018-01-14.1427829,bj,1.60,17.034,15.040,0.035,3.499,0.112,g
2458132.64556,2018-01-14.1440093,bj,1.63,17.104,15.025,0.032,3.548,0.105,g
2458133.63955,2018-01-15.1380231,bj,2.00,99.990,99.990,99.990,99.990,99.990,g
2458133.64077,2018-01-15.1392407,bj,2.00,99.990,99.990,99.990,99.990,99.990,g
2458133.64198,2018-01-15.1404582,bj,1.98,99.990,99.990,99.990,99.990,99.990,g
2458134.63565,2018-01-16.1341562,bj,1.62,17.294,15.088,0.029,3.349,0.088,g
2458134.63687,2018-01-16.1353710,bj,1.55,17.268,15.022,0.028,3.557,0.090,g
2458134.63809,2018-01-16.1365910,bj,1.61,17.278,15.064,0.028,3.425,0.089,g
2458135.63471,2018-01-17.1332378,bj,1.64,17.170,15.045,0.031,3.483,0.099,g
