HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458850.55786,2020-01-02.0560486,bF,1.51,17.075,15.113,0.036,3.275,0.108,g
2458850.55913,2020-01-02.0573244,bF,1.53,17.027,15.106,0.037,3.292,0.112,g
2458851.66515,2020-01-03.1633700,bj,1.51,16.951,15.246,0.045,2.897,0.121,g
2458851.66636,2020-01-03.1645833,bj,1.54,16.919,15.105,0.041,3.296,0.124,g
2458851.66758,2020-01-03.1658027,bj,1.57,16.992,15.159,0.040,3.139,0.116,g
2458852.39624,2020-01-03.8944737,bn,1.48,16.952,15.163,0.042,3.125,0.121,g
2458852.39746,2020-01-03.8956895,bn,1.48,16.924,15.062,0.039,3.428,0.124,g
2458852.39868,2020-01-03.8969057,bn,1.46,16.979,15.047,0.037,3.477,0.118,g
2458852.63477,2020-01-04.1330010,bj,1.61,16.813,15.086,0.045,3.353,0.137,g
2458852.63600,2020-01-04.1342304,bj,1.61,16.835,15.129,0.045,3.224,0.134,g
2458853.72996,2020-01-05.2282090,bF,1.55,16.968,15.143,0.041,3.183,0.119,g
2458853.73122,2020-01-05.2294696,bF,1.50,16.950,15.056,0.038,3.448,0.121,g
2458853.73250,2020-01-05.2307567,bF,1.52,16.998,15.027,0.036,3.542,0.116,g
2458854.62286,2020-01-06.1211278,bj,1.57,16.444,15.183,0.068,3.069,0.192,g
2458854.62407,2020-01-06.1223424,bj,1.59,16.425,15.138,0.067,3.197,0.195,g
2458854.62529,2020-01-06.1235596,bj,1.56,16.572,15.175,0.060,3.090,0.171,g
2458855.65836,2020-01-07.1566552,bF,1.53,16.254,15.234,0.086,2.926,0.229,g
2458855.65963,2020-01-07.1579216,bF,1.54,16.282,14.957,0.065,3.777,0.223,g
2458855.66092,2020-01-07.1592087,bF,1.52,16.257,15.069,0.073,3.410,0.228,g
2458855.83275,2020-01-07.3310376,bF,1.62,16.907,15.097,0.041,3.318,0.126,g
2458855.83401,2020-01-07.3323002,bF,1.64,16.827,15.031,0.042,3.528,0.135,g
2458855.83527,2020-01-07.3335637,bF,1.62,16.845,15.064,0.042,3.421,0.133,g
2458856.64595,2020-01-08.1442607,bj,1.67,15.878,15.208,0.118,2.997,0.324,g
2458856.64716,2020-01-08.1454737,bj,1.58,15.905,14.911,0.088,3.940,0.316,g
2458856.64837,2020-01-08.1466798,bj,1.55,15.843,15.104,0.111,3.300,0.334,g
2458857.83257,2020-01-09.3309079,bF,1.59,16.422,15.255,0.075,2.871,0.196,g
2458857.83512,2020-01-09.3334567,bF,1.58,16.194,15.123,0.082,3.244,0.242,g
2458858.45021,2020-01-09.9485576,bn,1.58,15.973,15.035,0.093,3.515,0.297,g
2458858.45184,2020-01-09.9501800,bn,1.54,16.095,15.145,0.091,3.175,0.265,g
2458858.45310,2020-01-09.9514437,bn,1.51,16.346,15.213,0.077,2.985,0.210,g
2458858.80253,2020-01-10.3008847,bF,1.55,16.180,15.256,0.094,2.868,0.245,g
2458860.36469,2020-01-11.8630820,bn,1.50,16.575,>16.575,99.990,0.221,0.170,g
2458860.36592,2020-01-11.8643112,bn,1.52,16.296,15.105,0.073,3.298,0.220,g
2458860.36715,2020-01-11.8655385,bn,1.52,16.401,15.062,0.064,3.430,0.200,g
2458860.78935,2020-01-12.2877435,bj,1.60,15.995,15.191,0.104,3.046,0.290,g
2458860.79056,2020-01-12.2889604,bj,1.56,16.032,15.245,0.106,2.898,0.281,g
